ws,ov,pos,md,wf1
100,25,C,4,0.873110210
100,50,C,4,0.886849708
100,75,C,4,0.861088982
150,25,C,4,0.907142579
150,75,C,4,0.843920311
150,50,C,4,0.863655045
50,25,C,5,0.851726765
50,50,C,5,0.833957732
50,75,C,5,0.831456149
100,25,L,4,0.927994800
100,50,L,4,0.924852145
100,75,L,4,0.938759285
150,25,L,4,0.926722981
150,50,L,4,0.927577275
150,75,L,4,0.941132790
50,25,L,4,0.874258138
50,50,L,4,0.866281370
50,75,L,5,0.917261965
150,25,R,4,0.800367054
100,25,R,5,0.875467514
100,50,R,5,0.899506720
100,75,R,5,0.869108726
150,50,R,5,0.873167388
150,75,R,5,0.899916299
50,25,R,5,0.834631315
50,50,R,5,0.838164564
50,75,R,5,0.815814737
100,25,C,4,0.845276142
100,50,C,4,0.840875025
100,75,C,4,0.863673175
150,25,C,4,0.896860192
150,75,C,4,0.888789207
150,50,C,4,0.899178597
50,25,C,5,0.827617770
50,50,C,5,0.830033108
50,75,C,5,0.838430544
100,25,L,4,0.919422449
100,50,L,4,0.924414297
100,75,L,4,0.927011239
150,25,L,4,0.945196355
150,50,L,4,0.939930408
150,75,L,4,0.943608754
50,25,L,4,0.884745689
50,50,L,4,0.856325186
50,75,L,5,0.909817873
150,25,R,4,0.751463660
100,25,R,5,0.868675219
100,50,R,5,0.835941741
100,75,R,5,0.866107657
150,50,R,5,0.892911858
150,75,R,5,0.880096611
50,25,R,5,0.821982969
50,50,R,5,0.830731909
50,75,R,5,0.821350593
100,25,C,4,0.829357005
100,50,C,4,0.847329122
100,75,C,4,0.838824245
150,25,C,4,0.851117892
150,75,C,4,0.844780355
150,50,C,4,0.840388466
50,25,C,5,0.819047018
50,50,C,5,0.815231224
50,75,C,5,0.839485388
100,25,L,4,0.891541711
100,50,L,4,0.912420452
100,75,L,4,0.917276245
150,25,L,4,0.926291063
150,50,L,4,0.931843584
150,75,L,4,0.933964981
50,25,L,4,0.847974783
50,50,L,4,0.847102852
50,75,L,5,0.911737918
150,25,R,4,0.842362234
100,25,R,5,0.858618429
100,50,R,5,0.864570018
100,75,R,5,0.886012152
150,50,R,5,0.892337056
150,75,R,5,0.892715947
50,25,R,5,0.787206614
50,50,R,5,0.818574849
50,75,R,5,0.842372379
100,25,C,4,0.858916939
100,50,C,4,0.851768112
100,75,C,4,0.843028640
150,25,C,4,0.856321001
150,75,C,4,0.881919259
150,50,C,4,0.896425362
50,25,C,5,0.830611357
50,50,C,5,0.846552587
50,75,C,5,0.839440139
100,25,L,4,0.929328198
100,50,L,4,0.927789000
100,75,L,4,0.920925434
150,25,L,4,0.945005031
150,50,L,4,0.916944738
150,75,L,4,0.918589745
50,25,L,4,0.830397955
50,50,L,4,0.835191065
50,75,L,5,0.908257042
150,25,R,4,0.810297692
100,25,R,5,0.895444370
100,50,R,5,0.883167022
100,75,R,5,0.865384027
150,50,R,5,0.894329964
150,75,R,5,0.879503013
50,25,R,5,0.800569781
50,50,R,5,0.847193204
50,75,R,5,0.831784167
100,25,C,4,0.881413464
100,50,C,4,0.844921323
100,75,C,4,0.835399619
150,25,C,4,0.791538213
150,75,C,4,0.844703536
150,50,C,4,0.853262637
50,25,C,5,0.819735669
50,50,C,5,0.815052856
50,75,C,5,0.825570430
100,25,L,4,0.939378165
100,50,L,4,0.936457726
100,75,L,4,0.931055420
150,25,L,4,0.944640849
150,50,L,4,0.955798318
150,75,L,4,0.949225642
50,25,L,4,0.859201810
50,50,L,4,0.838003135
50,75,L,5,0.917980693
150,25,R,4,0.771251484
100,25,R,5,0.824559065
100,50,R,5,0.859819037
100,75,R,5,0.856303705
150,50,R,5,0.850669841
150,75,R,5,0.873317088
50,25,R,5,0.822195773
50,50,R,5,0.831754320
50,75,R,5,0.821958863
100,25,C,4,0.831138332
100,50,C,4,0.847020243
100,75,C,4,0.847922626
150,25,C,4,0.903919700
150,75,C,4,0.776013424
150,50,C,4,0.821920402
50,25,C,5,0.820182980
50,50,C,5,0.816781221
50,75,C,5,0.818608697
100,25,L,4,0.925374121
100,50,L,4,0.938273292
100,75,L,4,0.928050810
150,25,L,4,0.941658752
150,50,L,4,0.932583896
150,75,L,4,0.941848391
50,25,L,4,0.868733213
50,50,L,4,0.865855428
50,75,L,5,0.895723702
150,25,R,4,0.873481326
